noun	gender	count
artère	f	9662
artéfact	m	766
artériographie	f	1097
artériopathie	f	780
artérite	f	613
artículo	m	826
arythmie	f	985
arène	f	8758
aréopage	m	3605
arête	f	7462
arôme	m	2333
as	m	4982
ascendance	f	8065
ascendant	m	12226
ascenseur	m	8398
ascension	f	24572
ascite	f	1154
ascèse	f	11956
ascète	m	3256
ascétisme	m	2571
asepsie	f	756
ashram	m	779
asile	m	28386
asistencia	f	594
asociación	f	849
aspect	m	377918
aspecto	m	998
aspersion	f	748
asphyxie	f	2098
aspirant	m	2317
aspirateur	m	2458
aspiration	f	38717
aspirine	f	753
aspérité	f	809
assaillant	m	960
assainissement	m	7346
assaisonnement	m	572
assassin	m	14953
assassinat	m	11956
assaut	m	12385
assemblage	m	34291
assemblée	f	145000
assentiment	m	6422
assertion	f	16088
asservissement	m	4332
assesseur	m	2266
assidu	m	533
assiduité	f	2259
assiette	f	27400
assiettée	f	818
assignat	m	683
assignation	f	7178
assimilation	f	29640
assise	f	33963
assistanat	m	584
assistance	f	87241
assistant	m	13265
assistante	f	11643
assisté	m	985
association	f	284323
associé	m	17215
associée	f	504
assoiffé	m	541
assolement	m	2034
assombrissement	m	537
assomption	f	3223
assonance	f	869
assortiment	m	8274
assoupissement	m	1208
assouplissement	m	17113
assouvissement	m	684
assujetti	m	1944
assujettissement	m	3852
assurance	f	65304
assureur	m	5685
assèchement	m	2444
asthmatique	m	536
asthme	m	2966
asthénie	f	2247
astre	m	12135
astreinte	f	7686
astrolabe	m	927
astrologie	f	658
astrologue	m	2109
astronaute	m	1139
astronome	m	4213
astronomie	f	1091
astrophysicien	m	508
astuce	f	6201
astérisque	f	1070
astérisque	m	11465
astéroïde	m	1487
asymptote	f	1308
asymétrie	f	12508
atavisme	m	2019
ataxie	f	1073
atelier	m	109008
atención	f	3848
athlète	m	8159
athée	m	6359
athéisme	m	5387
atlas	m	10371
atmosphère	f	139936
atoll	m	1852
atome	m	25284
atomisation	f	3106
atomisme	m	869
atonie	f	1397
atout	m	85856
atrium	m	1762
atrocité	f	1037
atrophie	f	6295
attache	f	3743
attachement	m	43629
attaché	m	5897
attachée	f	882
attaquant	m	1484
attaque	f	139110
attardé	m	750
atteinte	f	110233
attelage	m	7452
attelle	f	2580
attendrissement	m	1465
attentat	m	45940
attente	f	46293
attention	f	257337
attentisme	m	2470
